Название,Год,Тип активности,Формат работы,Город,Страна,Фестиваль/Программа,Площадка,Заказчик/Партнер,Тематика,Описание
пожары замерзшим сердцам,2014,Участие в выставке,Выставочная работа,Екатеринбург,Россия,,галерея Свитер,,,Выставка Холод
в моем аквариуме,2014,Участие в выставке,Выставочная работа,Екатеринбург,Россия,,галерея Свитер,,,на другой стороне
Стая,2014,Художественная работа,Инсталляция,Екатеринбург,Россия,Решительные действия,,,Анималистика,
с сахором,2014,Участие в выставке,Выставочная работа,Екатеринбург,Россия,,галерея Свитер,,,Простые истины
русалочка,2014,Участие в выставке,Выставочная работа,Пермь,Россия,,PERMM,,,Транзитная зона
Зазеркалье,2014,Участие в выставке,Выставочная работа,Екатеринбург,Россия,,галерея Свитер,,,Соседи
Хорошая собака,2013,Художественная работа,Мурал,Баку,Азербайджан,Participate,,,Анималистика,
Сказочный лес,2011,Художественная работа,Мурал,Москва,Россия,The wall,,,,
Заповедник,2011,Художественная работа,Мурал,Кудымкар,Россия,,,,,
П_остановка,2011,Участие в выставке,,Пермь,Россия,,,,,Проект
Хорошая собака - Черты,2011,Участие в выставке,Выставочная работа,Пермь,Россия,Живая Пермь,,,Анималистика,
Хорошая собака,2011,Художественная работа,Мурал,Пермь,Россия,Длинные истории Перми,,,Анималистика,Скорость Цвета
Млахитовый медведь,2011,Художественная работа,Мурал,Пермь,Россия,Длинные истории Перми,,,Анималистика,Скорость Цвета
Семечки закончились,2010,Художественная работа,Мурал,Екатеринбург,Россия,Длинные истории Екатеринбурга 8,,,,
Хорошая собака - Биеннале,2010,Участие в выставке,Выставочная работа,Москва,Россия,II Биеннале молодого искусства,,,Анималистика,Стой! Кто идет?
Потерялся,2009,Художественная работа,Инсталляция,Екатеринбург,Россия,,,,,МК Марка Дженкинса
фак да шакинг,2009,Участие в выставке,Выставочная работа,Санкт-Петербург,Россия,,,,,Внутренний Урал
Живая Пермь,2009,Участие в выставке,,Пермь,Россия,Живая Пермь,,,,
Хорошая собака,2009,Художественная работа,Мурал,Екатеринбург,Россия,Длинные истории Екатеринбурга 6,,,Анималистика,
Хорошая собака,2008,Художественная работа,Мурал,Бишкек,Киргизия,Симпозиум по искусству в общественных пространствах,,,Анималистика,
46,2007,Художественная работа,Мурал,Екатеринбург,Россия,Длинные истории Екатеринбурга 5,,,,
глэмрок,2007,Художественная работа,Мурал,Екатеринбург,Россия,на волне,,,,
